date,,activity
2018/3/20 11:17,0.012070211,STATIC
2018/3/20 11:17,0.014920456,STATIC
2018/3/20 11:17,0.037057253,STATIC
2018/3/20 11:17,0.018179109,STATIC
2018/3/20 11:17,0.023351874,STATIC
2018/3/20 11:17,0.026930095,STATIC
2018/3/20 11:17,0.055009908,STATIC
2018/3/20 11:17,0.024664549,STATIC
2018/3/20 11:17,0.02334909,STATIC
2018/3/20 11:17,0.012439453,STATIC
2018/3/20 11:17,0.022479324,STATIC
2018/3/20 11:17,0.023843238,STATIC
2018/3/20 11:17,0.025347781,STATIC
2018/3/20 11:17,0.021309153,STATIC
2018/3/20 11:17,0.021608332,STATIC
2018/3/20 11:17,0.020615528,STATIC
2018/3/20 11:17,0.0163,STATIC
2018/3/20 11:17,0.026394696,STATIC
2018/3/20 11:17,0.018835605,STATIC
2018/3/20 11:17,0.029844095,STATIC
2018/3/20 11:17,0.024576615,STATIC
2018/3/20 11:17,0.027159529,STATIC
2018/3/20 11:17,0.02026228,STATIC
2018/3/20 11:17,0.03233914,STATIC
2018/3/20 11:17,0.017345893,STATIC
2018/3/20 11:17,0.025623037,STATIC
2018/3/20 11:17,0.029573975,STATIC
2018/3/20 11:17,0.027638379,STATIC
2018/3/20 11:17,0.010587256,STATIC
2018/3/20 11:17,0.018155991,STATIC
2018/3/20 11:17,0.019553005,STATIC
2018/3/20 11:17,0.01907459,STATIC
2018/3/20 11:17,0.021986132,STATIC
2018/3/20 11:17,0.020145471,STATIC
2018/3/20 11:17,0.021715893,STATIC
2018/3/20 11:17,0.020503902,STATIC
2018/3/20 11:17,0.020330765,STATIC
2018/3/20 11:17,0.022031114,STATIC
2018/3/20 11:17,0.021521152,STATIC
2018/3/20 11:17,0.022690967,STATIC
2018/3/20 11:17,0.019671553,STATIC
2018/3/20 11:17,0.02113102,STATIC
2018/3/20 11:17,0.02466536,STATIC
2018/3/20 11:17,0.032348416,STATIC
2018/3/20 11:17,0.014975647,STATIC
2018/3/20 11:17,0.026660083,STATIC
2018/3/20 11:17,0.02739635,STATIC
2018/3/20 11:17,0.030146642,STATIC
2018/3/20 11:17,0.021179943,STATIC
2018/3/20 11:17,0.025472731,STATIC
2018/3/20 11:17,0.028796354,STATIC
2018/3/20 11:17,0.01903917,STATIC
2018/3/20 11:17,0.028583037,STATIC
2018/3/20 11:17,0.020952088,STATIC
2018/3/20 11:17,0.026714416,STATIC
