date,p,activity
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,6,STAND
2018/3/20 12:11,5,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,5,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,5,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:12,5,STAND
2018/3/20 12:12,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,5,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
