date,lux,tem_in,tem_win,sonar_in,sonar_out,move,p,adx,ady,adz,awx,awy,awz,activity
2018-03-20 12:02:58,41,19.5,19.7,97,112,0,111.0,-0.96,0.0,-0.19,-0.94,-0.02,-0.26,
2018-03-20 12:02:58,41,19.5,19.7,109,109,0,106.0,-0.95,0.0,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:02:58,41,19.5,19.7,106,112,0,101.0,-0.95,0.0,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:02:59,41,19.5,19.7,111,105,0,106.0,-0.95,0.01,-0.2,-0.94,-0.03,-0.25,
2018-03-20 12:02:59,41,19.5,19.7,99,100,0,109.0,-0.94,0.01,-0.19,-0.94,-0.02,-0.26,
2018-03-20 12:03:00,41,19.4,19.7,106,109,0,106.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:00,41,19.4,19.7,102,115,0,106.0,-0.96,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:01,41,19.4,19.7,100,108,0,110.0,-0.94,-0.0,-0.19,-0.94,-0.02,-0.24,
2018-03-20 12:03:01,42,19.4,19.7,98,115,1,109.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:02,42,19.4,19.7,103,111,1,105.0,-0.95,0.01,-0.18,-0.95,-0.02,-0.25,
2018-03-20 12:03:02,41,19.4,19.7,103,104,1,109.0,-0.95,0.0,-0.19,-0.94,-0.01,-0.25,
2018-03-20 12:03:02,42,19.4,19.7,97,113,1,108.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:03,42,19.4,19.7,104,113,1,104.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:03,41,19.4,19.6,103,114,0,103.0,-0.95,0.01,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:03:04,41,19.4,19.6,104,113,0,100.0,-0.94,0.08,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:04,42,19.4,19.6,107,108,0,108.0,-0.94,-0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:05,42,19.4,19.6,108,108,0,106.0,-0.94,-0.0,-0.2,-0.95,-0.02,-0.26,
2018-03-20 12:03:05,42,19.4,19.6,114,103,0,103.0,-0.95,0.0,-0.21,-0.95,-0.02,-0.25,
2018-03-20 12:03:06,41,19.4,19.7,113,103,0,102.0,-0.95,-0.0,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:03:06,41,19.4,19.7,103,104,0,105.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:06,40,19.4,19.7,94,112,0,105.0,-0.94,0.0,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:03:07,42,19.4,19.7,109,101,0,108.0,-0.95,0.0,-0.19,-0.94,-0.02,-0.26,
2018-03-20 12:03:07,41,19.4,19.7,103,114,0,110.0,-0.95,0.01,-0.18,-0.94,-0.03,-0.25,
2018-03-20 12:03:08,41,19.4,19.7,96,100,0,106.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:08,41,19.4,19.7,104,112,0,105.0,-0.95,0.0,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:03:09,41,19.4,19.7,108,106,0,111.0,-0.95,0.01,-0.19,-0.94,-0.02,-0.26,
2018-03-20 12:03:09,40,19.4,19.7,114,104,0,105.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:10,40,19.4,19.6,98,111,0,122.0,-0.96,-0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:10,40,19.4,19.6,105,104,0,119.0,-0.96,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:10,40,19.4,19.6,96,111,0,121.0,-0.95,0.0,-0.19,-0.95,-0.02,-0.25,
2018-03-20 12:03:11,40,19.4,19.6,100,112,0,121.0,-0.95,-0.0,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:03:11,40,19.4,19.6,107,109,0,105.0,-0.95,0.0,-0.2,-0.95,-0.03,-0.25,
2018-03-20 12:03:33,38,19.4,19.6,104,108,1,29.0,-0.95,-0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:03:33,38,19.4,19.6,104,105,1,29.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:34,37,19.4,19.6,94,106,1,27.0,-0.95,0.0,-0.2,-0.94,-0.03,-0.25,
2018-03-20 12:03:35,38,19.4,19.6,99,106,1,21.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:37,37,19.4,19.6,120,97,1,20.0,-0.96,0.01,-0.2,-0.94,-0.02,-0.24,
2018-03-20 12:03:37,38,19.4,19.6,98,110,1,20.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:03:38,38,19.4,19.6,107,111,1,20.0,-0.95,0.01,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:03:38,38,19.4,19.6,106,99,1,20.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:39,38,19.4,19.6,98,111,1,20.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:39,38,19.4,19.6,98,118,1,20.0,-0.95,0.0,-0.2,-0.95,-0.02,-0.25,
2018-03-20 12:03:41,38,19.4,19.7,97,113,1,21.0,-0.98,0.05,-0.11,-0.94,-0.02,-0.24,
2018-03-20 12:03:41,38,19.4,19.7,169,112,1,21.0,-0.96,0.03,-0.08,-0.94,-0.02,-0.25,
2018-03-20 12:03:42,38,19.4,19.7,110,132,1,21.0,-0.95,-0.0,-0.2,-0.95,-0.02,-0.24,
2018-03-20 12:03:42,38,19.4,19.7,330,288,1,20.0,-0.94,-0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:42,38,19.4,19.7,111,132,1,20.0,-0.95,0.01,-0.18,-0.94,-0.02,-0.24,
2018-03-20 12:03:43,38,19.4,19.7,162,121,1,20.0,-0.95,-0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:43,38,19.4,19.6,114,167,1,21.0,-0.96,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:44,38,19.4,19.6,153,129,1,20.0,-0.94,-0.0,-0.2,-0.94,-0.01,-0.25,
2018-03-20 12:03:44,38,19.4,19.6,159,122,1,20.0,-0.95,-0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:45,38,19.4,19.6,293,132,0,20.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:45,38,19.4,19.6,125,127,0,20.0,-0.94,-0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:46,38,19.4,19.6,123,128,0,20.0,-0.95,0.0,-0.21,-0.95,-0.02,-0.25,
2018-03-20 12:03:46,38,19.4,19.6,124,129,0,19.0,-0.95,0.0,-0.2,-0.94,-0.01,-0.25,
2018-03-20 12:03:46,38,19.4,19.6,117,165,0,21.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:47,38,19.4,19.6,118,210,0,20.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:47,38,19.4,19.6,293,127,0,22.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:48,38,19.5,19.6,119,125,0,22.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.24,
2018-03-20 12:03:48,38,19.5,19.6,87,116,1,21.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:49,38,19.5,19.6,104,95,1,22.0,-0.95,0.0,-0.21,-0.95,-0.03,-0.25,
2018-03-20 12:03:50,37,19.5,19.6,99,100,1,21.0,-0.94,0.01,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:50,37,19.5,19.7,94,84,1,22.0,-0.95,0.0,-0.21,-0.94,-0.03,-0.26,
2018-03-20 12:03:51,37,19.5,19.7,89,92,1,21.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:51,37,19.5,19.7,162,115,1,21.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:03:52,37,19.4,19.6,88,88,1,22.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:52,37,19.4,19.6,109,71,1,21.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:52,37,19.4,19.6,108,171,0,21.0,-0.95,0.01,-0.21,-0.95,-0.02,-0.25,
2018-03-20 12:03:53,37,19.4,19.6,105,130,0,22.0,-0.95,-0.0,-0.21,-0.94,-0.03,-0.25,
2018-03-20 12:03:53,37,19.4,19.6,106,63,0,22.0,-0.94,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:54,37,19.4,19.6,105,174,0,22.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.24,
2018-03-20 12:03:54,37,19.4,19.6,102,62,1,21.0,-0.95,0.01,-0.21,-0.95,-0.02,-0.25,
2018-03-20 12:03:54,37,19.4,19.6,109,73,1,21.0,-0.95,-0.0,-0.2,-0.94,-0.02,-0.24,
2018-03-20 12:03:55,39,19.4,19.6,105,63,1,21.0,-0.95,0.01,-0.2,-0.94,-0.03,-0.25,
2018-03-20 12:03:55,39,19.4,19.6,103,65,1,22.0,-0.96,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:56,38,19.4,19.6,94,93,1,21.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:56,38,19.4,19.6,95,82,1,21.0,-0.95,-0.01,-0.21,-0.94,-0.03,-0.25,
2018-03-20 12:03:56,38,19.4,19.6,97,86,0,22.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:03:57,38,19.4,19.6,98,87,0,21.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:03:57,38,19.4,19.6,88,89,0,21.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:03:58,38,19.4,19.6,90,103,0,21.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:03:58,38,19.4,19.6,107,131,0,20.0,-0.95,-0.0,-0.21,-0.94,-0.02,-0.25,
